GEN_TP_FUELS_1	GEN_TP_FUELS_2	GEN_TP_FUELS_3	GenFuelUseRate
Decker_Creek_G2	10	NG	0.0
Victoria_Power_Station	8	NG	0.0
Cedar_Bayou_1	9	NG	7647.10465
Twin_Oaks_1	8	Coal-Lig	0.0
Magic_Valley_Station	1	NG	4909.8852
ExTex_La_Porte_Power_Station_AirPro_4	5	NG	0.0
Channelview_Cogen_Plant	2	NG	5694.26655
Decker_Creek_G2	2	NG	0.0
Bastrop_Energy_Center_1	3	NG	4299.30059
Mountain_Creek_7	11	NG	0.0
Fayette_Power_Project_1	9	Coal-Sub	0.0
ExxonMobil_Baytown_Refinery	8	NG	62.140891
Paris_Energy_Center_1	2	NG	0.0
Dansby_2	12	NG	0.0
Limestone_2	11	Coal-Lig	0.0
V_H_Braunig_5	10	NG	0.0
Mountain_Creek_6	1	NG	0.0
W_A_Parish_2	11	NG	0.0
W_A_Parish_6	4	Coal-Sub	0.0
Greenville_Powerlane_IC3	10	NG	0.0
Ray_Olinger_1	9	NG	0.0
Permian_Basin_4	3	NG	0.0
Decker_Creek_G2	3	NG	0.0
Silas_Ray_9	2	NG	0.0
J_K_Spruce_2	2	Coal-Sub	0.0
Fayette_Power_Project_2	7	Coal-Sub	0.0
Winchester_Power_Park_1	7	NG	0.0
Lake_Hubbard_1	10	NG	0.0
Gibbons_Creek_1	6	Coal-Sub	0.0
Winchester_Power_Park_4	7	NG	0.0
ExTex_La_Porte_Power_Station_AirPro_2	12	NG	0.0
Martin_Lake_2	7	Coal-Lig	0.0
Permian_Basin_2	3	NG	0.0
Forney_Energy_Center_1	9	NG	0.0
Handley_4	2	NG	0.0
Midlothian_1	9	NG	0.0
Sandow_U5	7	Coal-Lig	0.0
Forney_Energy_Center_2	2	NG	0.0
Leon_Creek_Peaking_1	7	NG	0.0
Midlothian_1	10	NG	0.0
Permian_Basin_1	5	NG	0.0
Sand_Hill_Energy_Center_GT_7	6	NG	0.0
Morgan_Creek_2	8	NG	0.0
Sandy_Creek_1	11	Coal-Sub	0.0
R_W_Miller_3	10	NG	0.0
Baytown_Energy_Center	8	NG	7429.098924
Deer_Park_Energy_Center_1	10	NG	6961.78944
Ector_County_Energy	12	NG	0.0
Leon_Creek_Peaking_4	9	NG	454.848
W_A_Parish_2	8	NG	0.0
Panda_Temple_II_STG	7	NG	0.0
Gregory_Power_Facility	10	NG	2821.19376
Limestone_2	6	Coal-Lig	0.0
W_A_Parish_6	5	Coal-Sub	0.0
ExxonMobil_Baytown_Refinery	7	NG	62.140891
Optim_Energy_Altura_Cogen	8	NG	5641.714764
Mountain_Creek_7	10	NG	0.0
Ferguson_Replacement	11	NG	3594.09
Decker_Creek_1	9	NG	3278.00025
Mountain_Creek_8	11	NG	0.0
Austin_Area_LFG	5	Biogas	62.72
Handley_4	5	NG	0.0
Laredo_Peaking_4	12	NG	906.0456
J_T_Deely_1	4	Coal-Sub	0.0
Mountain_Creek_6	9	NG	0.0
Dansby_3	1	NG	0.0
W_A_Parish_7	11	Coal-Sub	0.0
Pasadena_Cogeneration	1	NG	5617.3403
R_W_Miller_5	9	NG	0.0
ExTex_La_Porte_Power_Station_AirPro_1	7	NG	0.0
Permian_Basin_1	4	NG	0.0
Pearsall_3	7	NG	290.0
T_H_Wharton_GT_52	12	NG	0.0
Morgan_Creek_6	7	NG	0.0
Stryker_Creek_1	8	NG	0.0
Colorado_Bend_Energy_Center_1	4	NG	1727.84645
R_W_Miller_3	7	NG	0.0
Leon_Creek_Peaking_4	10	NG	454.848
Panda_Temple_II_CTG1	1	NG	0.0
San_Antonio_Area_LFG	12	Biogas	262.64
Morgan_Creek_1	3	NG	0.0
Freestone_Energy_Center_1	4	NG	0.0
Morgan_Creek_5	1	NG	0.0
Trinidad_6	5	NG	0.0
Freeport_Energy_Center	10	NG	508.28097
Bryan_Atkins_7	9	NG	0.0
Hays_Energy_Facility_1	2	NG	6835.74696
T_H_Wharton_4	8	NG	0.0
ExxonMobil_Baytown_Refinery	4	NG	62.140891
Lamar_Power_Project_1	2	NG	0.0
Victoria_Texas_Plant	4	NG	0.0
W_A_Parish_3	7	NG	0.0
T_H_Wharton_GT_56	1	NG	0.0
Magic_Valley_Station	9	NG	4909.8852
Decker_Creek_G3	6	NG	0.0
Equistar_Corpus_Christi	6	NG	102.0
Sim_Gideon_2	8	NG	0.0
Spencer_4	6	NG	0.0
Lake_Hubbard_2	11	NG	0.0
Monticello_U2	12	Coal-Lig	0.0
Ray_Olinger_4	9	NG	0.0
B_M_Davis_1	2	NG	3465.0
W_A_Parish_8	11	Coal-Sub	0.0
Sandow_U5	4	Coal-Lig	0.0
Spencer_5	10	NG	0.0
Sand_Hill_Energy_Center_GT_6	8	NG	0.0
Jack_County_Generation_Facility_1	6	NG	0.0
Handley_5	6	NG	0.0
Leon_Creek_Peaking_3	4	NG	454.848
Stryker_Creek_1	9	NG	0.0
Colorado_Bend_Energy_Center_1	3	NG	1727.84645
Frontera_1	12	NG	3584.10236
Laredo_Peaking_5	5	NG	877.8888
ExTex_La_Porte_Power_Station_AirPro_3	8	NG	0.0
T_H_Wharton_GT_52	9	NG	0.0
Twin_Oaks_2	3	Coal-Lig	0.0
Freestone_Energy_Center_1	11	NG	0.0
Handley_3	6	NG	0.0
Greens_Bayou_74	6	NG	0.0
Morgan_Creek_6	10	NG	0.0
San_Jacinto_SES_CTG_2	1	NG	1098.91647
Oyster_Creek_Unit_VIII	11	NG	4349.5885
Lamar_Power_Project_1	3	NG	0.0
Victoria_Texas_Plant	7	NG	0.0
Tenaska_Kiamichi_Station_2	5	NG	0.0
Morgan_Creek_1	12	NG	0.0
Guadalupe_Generating_Station_1	10	NG	7329.2338
Wise_County_Power_LP	2	NG	0.0
Midlothian_1	12	NG	0.0
Wise_County_Power_LP	1	NG	0.0
Deer_Park_Energy_Center_1	3	NG	6961.78944
Forney_Energy_Center_2	1	NG	0.0
